family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
63,31,73,54,63,22,67,14,89,87,52,5
64,3,12,47,29,94,31,81,38,61,19,3
65,47,87,20,17,2,53,57,6,82,75,5
66,1,66,82,39,25,81,47,53,21,51,8
67,1,94,45,21,10,73,35,54,41,62,5
68,89,85,78,58,18,48,27,67,35,45,7
69,5,22,94,75,64,25,73,68,18,55,4
70,32,1,11,5,7,100,10,3,23,15,3
71,11,46,71,39,27,49,23,22,29,32,4
72,66,38,26,35,52,6,96,68,9,45,3
73,10,52,18,22,23,1,67,33,7,14,3
74,82,28,66,61,47,87,56,6,5,73,4
75,53,52,16,1,26,56,58,42,5,72,4
76,46,79,98,24,61,47,66,40,26,17,4
77,20,31,12,72,79,61,81,38,22,94,4
78,52,53,66,67,47,25,10,54,29,35,5
79,1,37,82,61,35,4,45,42,46,22,7
80,18,47,10,1,52,74,61,19,39,97,2
81,17,1,4,54,39,87,14,89,25,67,4
82,32,8,11,1,47,35,94,81,96,99,4
83,88,59,14,53,52,68,12,26,32,46,2
84,9,13,73,39,43,6,26,11,81,1,6
85,54,10,28,39,16,21,5,45,70,47,3
86,29,1,45,53,14,88,8,92,19,25,3
87,25,68,73,38,43,89,54,36,18,45,2
88,57,75,83,34,12,73,1,94,89,74,4
89,23,17,68,12,14,39,75,28,18,67,2
90,54,52,17,33,26,75,96,1,25,24,6
91,17,54,33,1,67,8,4,24,95,30,4
92,85,1,74,37,19,89,63,4,66,18,2
93,5,33,39,1,73,10,43,69,3,19,3
94,47,10,73,96,45,94,78,1,88,23,3
95,24,53,68,32,74,25,73,89,49,1,4
96,75,1,88,31,58,13,41,67,25,77,6
97,96,24,48,89,36,1,77,57,14,40,4
98,3,1,11,73,26,89,31,28,19,40,4
99,39,23,18,88,61,22,46,66,17,4,3
100,39,5,80,1,19,75,88,94,49,22,6
101,53,96,17,9,49,18,1,74,77,89,2
102,31,29,13,46,89,24,1,94,38,9,7
103,68,12,18,33,87,89,73,60,4,19,7
104,47,46,33,52,3,17,25,73,88,85,2
105,12,17,45,26,22,19,15,6,21,80,4
106,34,30,17,31,3,12,13,46,50,87,4
107,12,41,33,54,46,39,82,6,31,24,3
108,34,32,51,47,1,99,29,59,58,61,5
109,17,75,95,48,68,9,22,80,12,23,5
110,67,22,24,23,70,9,47,43,1,89,6
111,68,1,35,94,17,44,26,4,59,64,4
112,60,13,31,89,43,34,27,74,25,68,3
113,18,37,58,1,95,19,5,53,26,36,4
114,15,20,37,5,100,70,33,52,7,17,6
115,22,17,1,15,74,9,38,40,33,68,4
116,77,79,19,80,25,72,40,31,57,12,4
117,94,1,19,31,13,5,69,8,52,54,6
118,69,73,16,81,45,44,11,38,25,4,4
119,4,19,10,53,67,3,73,31,89,40,4
120,56,89,95,28,97,40,44,59,27,75,4
121,17,54,87,4,38,25,6,66,55,73,3
122,24,4,14,47,95,52,23,1,11,35,6
123,95,22,32,18,4,46,67,13,81,66,4
124,14,38,7,18,26,1,22,87,4,39,5
125,47,58,8,83,3,23,29,1,88,6,3
126,3,40,24,88,68,45,33,56,94,61,5
127,2,42,36,27,95,74,14,53,49,98,8
128,56,12,72,69,89,68,17,1,62,48,6
129,17,43,32,61,46,100,14,79,64,20,7
130,16,82,59,53,49,99,20,1,18,19,6
131,11,81,12,60,31,9,67,27,21,5,4
132,76,74,36,24,26,3,40,7,10,52,2
133,54,40,20,73,5,14,17,7,32,68,4
134,18,96,26,17,95,1,43,49,33,58,8
135,5,33,18,2,87,11,89,1,60,16,6
136,88,1,40,53,45,82,89,13,52,32,3
137,82,26,8,1,96,54,53,46,38,20,2
138,59,2,11,28,80,16,5,46,19,87,5
139,89,11,32,8,46,10,18,24,81,60,3
140,61,1,13,81,59,52,40,32,21,58,6
141,89,4,3,82,61,31,19,45,7,60,4
142,26,37,29,85,33,10,15,73,24,53,3
143,38,28,17,1,15,8,89,26,45,32,3
144,28,5,12,1,24,87,59,61,11,54,4
145,18,61,25,73,40,48,26,29,10,59,2
146,64,61,42,36,67,96,94,82,86,24,3
147,28,24,7,39,14,27,59,40,1,89,5
148,63,94,25,4,3,16,8,32,100,59,4
149,61,40,87,38,66,46,18,81,59,1,4
150,60,19,95,72,61,12,52,87,38,32,4
151,3,95,2,19,61,88,52,4,9,22,6
152,88,40,68,1,82,96,32,19,75,80,2
153,3,12,73,40,35,92,74,87,54,60,2
154,25,61,91,99,82,33,75,94,47,18,4
155,100,79,27,1,36,63,60,47,40,12,2
156,95,74,44,67,3,41,49,20,1,66,5
157,87,61,54,29,49,66,9,30,4,26,3
158,13,95,49,25,45,3,33,1,46,17,6
159,3,45,55,9,49,11,67,53,15,20,6
160,40,28,14,7,16,75,10,31,3,8,2
161,47,60,43,46,1,12,49,24,5,52,4
162,68,86,15,17,29,97,16,46,87,53,5
163,84,30,15,27,88,45,5,26,32,59,4
164,18,1,10,21,47,73,5,12,11,65,6
165,1,33,97,7,26,38,80,18,21,13,7
166,14,84,44,22,51,25,38,29,76,82,4
167,95,93,1,23,21,73,5,86,16,11,4
168,19,73,13,89,67,84,26,66,3,31,4
169,67,17,52,5,84,12,75,73,4,60,5
170,12,25,27,40,10,76,97,59,1,17,7
171,24,73,47,45,1,11,31,49,4,25,4
172,21,60,54,15,46,26,88,39,1,4,7
173,68,55,47,38,24,94,84,46,1,25,3
174,94,34,18,51,13,88,32,52,3,74,6
175,17,89,18,74,47,81,21,46,94,85,2
176,52,18,75,50,16,36,4,48,94,10,6
177,74,13,52,95,48,25,49,89,87,59,4
178,80,45,46,1,95,37,53,24,3,18,2
179,26,2,1,59,34,31,53,66,41,81,5
180,40,20,21,51,80,14,33,24,3,34,6
181,7,20,37,1,38,2,17,28,4,35,3
182,94,87,12,17,8,19,32,9,54,53,2
183,17,10,34,2,60,15,43,94,5,67,3
184,4,47,40,38,90,81,8,1,21,24,6
185,80,31,54,1,64,74,88,35,26,25,2
186,50,2,60,87,82,1,18,33,4,68,4
187,43,39,26,75,35,47,78,1,60,19,2
188,10,20,48,56,59,89,31,91,46,82,3
189,1,51,3,31,18,10,12,100,21,4,3
190,9,41,87,21,82,67,11,1,81,26,4
191,54,33,5,83,1,75,94,14,88,25,3
192,77,33,20,96,59,13,97,31,67,95,3
193,12,35,75,56,14,25,80,20,81,41,4
194,95,1,65,42,52,47,90,34,61,54,2
195,55,9,87,47,56,1,49,17,26,25,3
196,26,100,60,7,54,61,73,23,33,88,6
197,59,44,19,45,24,18,92,1,72,37,2
198,81,90,59,31,82,1,75,54,48,4,7
199,51,31,71,22,42,8,87,43,1,45,2
200,26,46,74,47,83,1,13,61,45,87,2
201,47,35,46,88,21,43,5,94,33,49,7
202,23,6,49,92,88,33,82,47,77,29,5
203,38,52,3,18,81,89,24,26,25,40,4
204,67,88,45,49,56,17,34,18,23,92,5
205,1,26,18,47,19,39,99,5,32,12,2
206,28,18,1,8,68,9,74,26,39,12,2
207,47,5,95,94,73,27,19,17,41,32,5
208,1,10,95,5,75,12,34,38,50,64,4
209,9,71,22,24,47,3,39,4,17,84,6
210,23,80,72,94,81,29,56,1,19,67,4
211,67,45,1,9,59,95,32,24,60,5,4
212,10,3,35,96,52,1,6,53,47,17,3
213,52,18,1,26,77,17,80,6,94,23,3
214,31,18,26,3,35,5,32,38,96,39,3
215,1,17,94,40,52,99,11,3,87,95,2
216,43,47,81,93,5,54,29,68,19,56,7
217,5,38,39,47,80,12,48,4,87,46,5
218,38,23,54,1,10,2,52,60,21,82,3
219,68,31,81,19,54,97,38,87,60,24,6
220,1,24,88,11,95,27,18,54,96,17,2
221,17,4,10,31,94,95,1,38,46,24,5
222,36,19,12,25,47,55,1,60,81,76,3
223,60,5,17,41,19,82,28,45,54,1,6
224,4,66,40,100,87,12,33,3,58,84,4
225,61,80,24,53,50,34,31,11,5,40,2
226,59,82,17,46,18,96,3,1,52,60,2
227,49,39,54,1,16,58,87,48,59,50,5
228,87,25,4,81,53,11,27,24,31,1,7
229,48,1,82,24,85,20,49,94,55,53,4
230,57,35,31,53,33,54,40,68,74,89,2
231,48,4,32,18,80,38,16,71,1,12,3
232,47,59,26,51,82,74,89,45,1,31,3
233,87,45,92,12,44,1,24,94,19,53,3
234,82,66,24,25,4,41,53,60,81,26,4
235,53,59,13,40,67,10,3,7,98,32,3
236,37,8,87,10,32,2,61,12,89,5,5
237,3,54,17,4,30,22,75,96,53,47,7
238,19,4,36,39,95,38,45,64,62,24,4
239,14,36,17,31,13,3,60,29,52,1,3
240,33,1,57,21,19,87,73,4,20,56,4
241,60,52,25,82,4,26,88,27,14,1,4
242,60,17,56,97,15,1,32,53,82,48,2
243,89,1,26,4,80,29,5,13,18,64,4
244,39,35,18,89,74,76,45,17,22,24,4
245,4,13,38,17,59,3,22,76,75,8,6
246,50,22,30,41,57,24,89,7,45,39,6
247,66,96,24,61,30,47,40,38,67,33,6
248,33,80,22,44,23,89,5,45,38,53,5
249,75,14,89,1,68,61,11,57,39,38,3
250,1,7,52,11,81,19,87,75,3,4,8
251,75,66,97,44,9,19,62,38,10,33,3
252,1,18,45,92,97,34,80,64,17,5,4
253,73,32,88,84,93,24,95,43,6,36,3
254,18,28,68,95,44,63,33,6,88,66,3
255,12,94,47,1,17,4,80,97,9,24,4
256,93,96,74,32,31,17,12,24,59,2,4
257,74,89,1,59,25,43,52,34,15,28,6
258,92,86,48,11,75,25,32,5,46,81,4
259,60,12,31,21,100,1,67,95,35,82,5
260,25,37,46,20,39,45,74,59,88,5,5
261,67,87,83,92,96,22,2,46,18,26,3
262,32,35,56,5,95,52,1,18,26,22,4
263,48,60,19,31,1,96,17,59,51,61,3
264,11,20,96,10,79,38,47,81,16,87,2
265,11,81,26,18,17,33,72,59,39,94,7
266,32,1,7,17,38,58,24,14,35,39,7
267,18,1,74,45,31,50,28,11,89,23,2
268,39,59,48,1,53,28,4,67,60,79,4
269,30,47,20,1,33,16,43,59,21,19,5
270,67,31,41,89,5,15,98,51,12,27,6
271,73,3,55,1,46,48,57,53,56,18,6
272,43,31,72,75,29,24,23,1,40,19,6
273,38,1,95,24,68,75,96,71,52,33,2
274,8,33,23,71,56,67,66,38,11,55,3
275,15,16,17,62,39,13,3,80,25,22,6
276,32,10,69,81,66,88,31,79,38,60,4
277,3,81,46,53,47,4,75,1,18,31,3
278,54,46,78,100,68,65,52,6,22,29,3
279,38,73,17,11,25,94,24,96,43,19,6
280,89,23,55,51,59,78,45,39,5,93,6
281,22,18,82,19,94,34,51,40,66,62,3
282,17,12,26,89,4,54,66,82,24,87,3
283,73,9,52,38,1,59,43,56,4,68,4
284,20,24,38,82,56,94,6,76,78,3,6
285,66,5,87,26,32,84,44,37,39,61,6
286,54,38,26,22,12,28,85,60,66,1,4
287,47,8,94,85,80,1,10,7,12,4,4
288,63,73,67,16,5,54,87,1,25,48,2
289,66,26,11,18,32,30,4,38,67,1,3
290,25,56,5,43,38,95,53,59,46,42,5
291,80,23,22,11,45,93,26,3,8,47,2
292,66,19,40,75,36,31,44,89,71,100,3
293,67,23,47,18,30,12,37,14,50,34,5
294,46,1,4,17,68,38,24,12,47,26,7
295,10,47,31,85,13,24,18,35,82,11,8
296,39,50,31,55,10,17,23,14,43,21,3
297,48,35,1,54,63,12,67,38,33,74,3
298,19,50,32,13,80,53,22,8,88,66,3
299,32,39,17,10,46,1,53,2,31,81,3
300,5,87,40,81,61,72,25,30,1,39,4
301,45,53,19,39,82,56,11,38,70,25,2
302,4,39,11,47,80,8,10,72,6,95,4
303,27,13,89,17,1,82,34,74,75,25,3
304,86,28,32,40,90,88,19,53,1,46,6
305,58,12,54,31,1,52,24,76,16,94,5
306,2,89,47,67,54,36,19,57,38,81,6
307,1,32,39,5,86,4,17,38,52,66,4
308,47,1,10,35,26,46,39,13,69,61,4
309,19,4,31,96,66,18,28,80,60,100,4
310,89,64,91,60,11,75,74,67,23,32,3
311,59,8,96,72,13,18,22,70,36,12,2
312,43,73,5,1,38,2,39,24,36,26,2
313,17,37,12,95,1,54,16,32,72,93,5
314,39,4,40,57,95,45,47,24,1,43,3
315,45,17,38,32,36,54,39,49,74,9,4
316,53,52,44,2,80,96,88,32,95,87,5
317,25,88,74,52,63,49,79,31,45,66,3
318,49,4,82,73,32,1,53,14,54,40,4
319,10,75,37,68,81,21,31,15,26,46,5
320,7,20,31,88,19,1,48,92,95,84,5
321,1,95,53,40,54,56,58,74,8,49,5
322,82,53,57,14,46,61,71,75,37,66,4
323,48,17,55,41,15,1,27,45,89,38,4
324,33,54,75,55,95,67,1,17,12,52,3
325,1,3,20,35,4,23,10,56,73,61,2
326,26,31,96,22,38,29,77,89,14,39,4
327,46,14,80,35,31,1,17,64,96,13,4
328,10,66,53,97,6,44,95,87,80,1,3
329,19,41,1,24,74,25,4,43,38,96,3
330,82,94,93,4,10,38,1,32,68,66,3
331,17,1,57,45,19,67,7,37,64,66,4
332,10,38,82,75,14,1,7,11,42,87,2
333,23,59,1,3,81,99,88,20,40,32,6
334,22,33,55,95,90,67,72,6,17,26,4
335,68,1,47,30,11,61,45,5,3,67,3
336,89,1,80,38,50,9,3,87,82,5,4
337,24,1,18,90,26,7,80,19,31,68,4
338,74,95,53,35,46,3,18,52,31,12,4
339,45,1,29,22,82,81,50,78,3,47,6
340,1,13,31,67,60,24,38,36,69,26,4
341,58,31,45,50,12,67,46,80,1,17,3
342,54,74,28,64,44,59,95,96,5,60,5
343,89,88,33,67,4,61,2,27,24,3,3
344,23,30,1,24,10,49,58,29,82,60,7
345,66,45,33,96,60,42,67,26,19,37,4
346,1,24,94,4,88,9,30,5,32,73,3
347,59,11,60,1,3,15,94,80,45,19,4
348,1,5,10,94,52,47,19,45,32,31,5
349,19,1,88,36,59,94,86,80,12,3,3
350,96,74,24,27,41,2,1,61,11,3,8
351,27,74,35,46,2,45,55,64,59,39,7
352,93,67,55,89,1,17,31,61,2,72,4
353,25,4,94,1,80,11,34,81,31,18,2
354,87,27,54,43,1,46,94,3,26,6,5
355,53,85,60,45,2,86,57,10,15,33,5
356,33,51,1,17,31,66,5,73,98,19,4
357,25,18,55,4,66,75,39,1,12,65,5
358,11,1,88,93,59,52,10,14,7,46,3
359,90,4,61,17,30,21,81,66,53,33,5
360,55,99,10,32,7,46,24,1,95,52,4
361,87,34,58,1,96,36,12,32,54,41,4
362,81,61,68,40,9,12,23,29,11,49,3
363,12,53,1,73,96,16,46,48,39,75,2
364,99,21,45,24,12,1,26,32,74,82,3
365,4,53,33,51,54,25,73,74,41,79,2
366,3,93,46,19,89,13,88,54,12,68,8
367,17,53,48,26,11,25,14,27,98,59,2
368,26,93,1,59,40,46,76,70,13,95,6
369,45,1,72,38,46,22,41,48,5,11,3
370,13,93,25,18,74,68,52,59,96,4,8
371,26,33,93,20,18,60,32,1,65,12,2
372,96,98,25,73,75,40,88,59,11,12,6
373,61,9,2,41,66,19,89,33,87,10,5
374,75,88,23,10,5,1,38,35,31,18,2
375,6,12,77,40,1,80,61,89,11,52,3
376,26,80,41,36,52,88,95,60,59,31,5
377,82,11,1,5,60,61,41,19,15,47,3
378,25,18,47,53,11,50,8,12,60,7,3
379,4,12,66,65,16,38,10,30,1,33,6
380,73,82,99,69,87,7,96,53,98,1,5
381,27,46,15,87,12,29,1,23,82,21,7
382,48,17,43,89,94,11,55,53,68,2,5
383,12,1,40,69,4,28,59,73,2,68,4
384,3,73,10,6,24,80,59,38,1,17,4
385,29,87,59,96,2,82,32,62,100,88,6
386,66,15,96,59,94,82,16,23,13,1,8
387,39,4,88,1,38,52,57,29,25,11,7
388,32,45,80,18,30,81,67,39,19,87,4
389,54,94,1,36,6,96,38,73,46,33,4
390,40,1,5,60,21,18,37,39,53,12,4
391,75,53,40,32,31,1,47,82,81,3,6
392,60,47,31,16,96,74,54,20,84,24,4
393,36,5,1,27,95,52,48,53,11,46,2
394,11,28,24,4,10,40,54,12,33,45,4
395,8,18,1,19,81,17,60,68,15,95,7
396,75,2,72,47,24,96,17,32,86,19,3
397,52,46,76,26,94,33,45,12,72,30,2
398,37,17,1,56,23,64,33,88,18,41,7
399,5,31,19,39,89,52,9,81,46,28,2
400,3,47,80,64,24,98,11,14,48,95,2
401,52,4,32,1,73,26,24,40,100,7,4
402,25,4,63,24,75,54,26,81,60,66,4
403,17,74,68,73,36,37,86,64,28,8,4
404,48,49,88,1,57,7,96,19,94,53,7
405,54,87,24,31,45,1,100,78,58,23,3
406,3,5,45,12,11,1,6,15,18,21,2
407,68,10,18,13,6,66,94,7,9,2,2
408,21,5,81,18,49,10,75,32,39,53,4
409,81,5,3,67,12,13,54,58,1,37,4
410,81,17,33,2,27,18,73,22,23,35,3
411,1,74,83,52,17,91,4,26,41,19,6
412,25,45,89,1,54,65,66,39,55,82,5
413,80,17,62,94,28,45,82,61,31,11,8
414,26,8,59,77,45,42,57,52,1,80,4
415,24,1,13,5,79,85,51,9,40,19,5
416,96,75,38,41,31,26,80,22,57,8,4
417,10,74,47,71,34,80,17,67,13,1,3
418,32,96,1,42,33,89,41,24,53,94,4
419,26,94,25,17,75,42,67,1,85,47,5
420,60,3,11,1,99,20,49,59,19,18,2
421,87,69,47,43,68,38,95,24,2,45,3
422,24,17,45,27,83,35,5,19,54,36,6
423,74,53,1,32,31,11,25,29,28,20,4
424,4,66,3,82,38,85,74,77,92,5,2
425,30,10,24,33,88,1,53,87,73,89,4
426,33,36,59,19,61,95,5,4,62,94,6
427,24,42,12,1,88,11,3,52,15,25,3
428,40,46,88,38,17,85,13,61,3,8,8
429,2,94,28,32,88,86,59,25,22,57,4
430,66,5,25,96,48,7,14,60,3,31,7
431,12,15,37,1,26,25,59,73,23,29,7
432,45,26,28,88,40,66,39,38,9,58,4
433,1,61,11,45,24,14,7,83,17,31,3
434,18,62,50,2,96,23,36,53,87,98,6
435,1,31,80,24,37,38,32,16,27,3,2
436,11,33,18,12,1,39,5,13,31,74,4
437,38,64,1,54,13,82,53,12,87,45,5
438,25,1,38,46,67,24,28,45,80,74,3
439,1,18,6,3,75,19,37,96,92,95,6
440,39,96,74,47,94,41,19,45,7,28,5
441,33,11,47,8,61,24,66,64,1,36,4
442,29,60,5,73,89,53,1,27,67,52,7
443,14,89,1,30,54,82,41,26,28,49,3
444,26,31,11,33,60,61,39,82,43,1,4
445,74,59,56,21,58,73,100,25,53,75,3
446,27,29,25,22,62,48,47,33,81,52,4
447,19,94,21,14,9,4,1,80,12,59,4
448,82,26,19,99,12,36,95,80,5,75,2
449,18,1,96,10,23,48,54,11,31,73,3
450,60,22,38,48,80,28,26,40,61,45,2
451,33,1,50,18,59,24,45,10,38,5,3
452,87,18,86,26,33,6,3,1,38,25,4
453,33,51,3,62,1,68,83,5,96,6,5
454,11,17,46,38,1,56,36,55,49,69,3
455,1,3,73,46,87,52,59,10,89,5,4
456,94,26,27,59,7,25,48,60,40,4,5
457,70,51,18,12,34,44,75,82,24,40,3
458,46,96,13,1,48,25,79,37,3,9,6
459,66,33,1,22,11,59,41,38,56,27,4
460,30,59,18,33,65,32,41,1,28,15,4
461,27,4,91,20,38,18,10,36,17,46,2
462,80,58,1,27,81,29,73,25,18,5,6
463,18,33,71,66,38,59,81,75,35,32,5
464,46,1,43,96,19,68,36,5,100,24,5
465,46,1,15,16,59,33,90,74,58,24,4
466,36,38,20,3,27,4,26,22,1,66,4
467,3,24,7,33,20,16,26,27,13,12,2
468,54,42,8,60,87,37,57,52,3,75,4
469,93,25,85,88,76,22,39,98,12,24,6
470,17,89,82,38,53,19,9,12,29,75,2
471,38,12,26,73,1,32,79,11,66,19,4
472,1,59,14,74,73,61,63,33,19,32,4
473,56,21,74,45,94,81,26,41,9,52,3
474,22,28,2,80,50,5,33,41,53,1,5
475,33,18,1,10,15,68,61,96,88,45,5
476,54,56,86,33,7,34,52,100,81,19,3
477,60,87,96,32,25,54,42,67,68,41,4
478,5,24,7,56,20,68,89,18,21,14,5
479,34,94,65,40,74,24,53,60,43,84,2
480,1,78,40,95,58,68,13,22,75,24,3
481,13,72,18,42,66,89,44,75,1,46,5
482,30,68,23,37,26,20,25,81,89,46,2
483,78,89,59,40,41,95,94,88,3,5,5
484,26,87,19,46,10,88,22,73,5,25,4
485,30,3,31,40,73,47,82,18,54,38,5
486,11,17,1,60,19,67,62,50,82,89,8
487,26,21,71,65,56,31,47,73,40,7,3
488,40,7,13,5,1,16,88,35,54,21,4
489,16,1,55,38,52,3,54,10,33,95,3
490,28,32,13,6,1,88,59,19,24,66,3
491,73,81,67,16,9,96,53,88,89,4,7
492,95,87,8,59,44,80,75,46,28,33,3
493,16,7,40,97,11,1,46,36,9,82,3
494,95,33,18,34,27,12,38,24,57,75,4
495,56,68,61,1,40,19,84,46,12,16,5
496,3,56,42,13,25,66,29,24,63,19,4
497,16,10,80,63,3,31,90,26,61,77,6
498,45,71,18,23,21,1,96,94,35,80,4
499,46,80,60,15,10,28,9,74,83,18,2
500,27,30,19,46,1,4,53,45,52,7,5
501,21,15,53,3,59,75,25,1,12,22,5
502,56,4,21,9,6,52,66,1,8,26,2
503,22,91,6,32,61,45,67,17,49,50,5
504,1,81,33,75,38,29,39,58,7,53,8
505,16,10,30,18,9,19,12,3,54,39,2
506,38,17,1,42,10,24,11,45,47,59,7
507,47,13,73,16,22,17,4,1,27,10,7
508,35,39,53,50,18,24,47,15,51,19,2
509,37,25,32,36,6,54,57,4,56,15,5
510,82,53,57,1,46,89,60,25,33,4,2
511,43,1,46,85,26,37,32,24,18,90,5
512,58,4,71,17,78,40,68,10,52,91,4
513,64,59,57,1,14,89,18,9,15,17,3
514,3,52,26,45,40,87,7,72,68,41,3
515,14,3,7,80,19,1,53,38,88,9,4
516,17,42,79,81,94,35,13,89,32,88,6
517,60,61,1,47,68,26,8,34,42,81,3
518,24,18,19,16,53,46,1,10,35,43,4
519,24,25,9,54,11,63,10,87,47,35,6
520,4,5,45,48,75,31,56,77,39,52,3
521,66,68,61,1,45,65,40,85,24,42,2
522,32,1,3,61,38,98,11,75,10,50,2
523,4,5,51,7,81,17,13,98,38,1,4
524,74,1,46,52,12,55,88,87,58,40,4
525,19,45,24,98,48,15,23,79,13,52,4
526,59,68,74,19,11,31,8,3,35,42,4
527,16,39,1,50,82,19,70,11,59,22,4
528,68,15,100,7,31,23,88,1,59,61,5
529,25,87,47,41,54,61,58,94,68,66,5
530,61,52,75,12,33,69,10,53,67,2,7
531,45,61,75,2,95,57,3,100,40,53,3
532,4,47,75,56,5,54,24,32,1,28,5
533,26,74,17,21,24,1,50,51,45,4,3
534,14,26,81,95,83,88,61,5,18,57,2
535,12,72,4,42,32,95,1,11,41,73,7
536,91,1,29,4,11,66,72,26,25,44,2
537,23,53,96,1,46,5,4,60,80,66,5
538,83,26,12,19,40,1,7,79,5,25,5
539,9,59,19,25,49,4,17,33,67,89,2
540,31,14,41,4,47,1,5,25,11,97,3
541,60,40,86,32,59,1,38,5,95,31,5
542,22,53,21,46,98,39,90,3,96,43,4
543,53,17,5,3,1,54,68,20,25,14,3
544,12,17,16,7,56,80,34,25,61,26,5
545,81,79,24,73,95,88,52,7,33,46,5
546,80,51,4,42,33,1,60,81,22,32,4
547,60,1,33,5,20,4,38,25,21,22,7
548,88,89,22,12,85,9,29,67,43,32,6
549,1,44,37,19,10,50,26,47,4,23,3
550,73,5,1,24,47,40,18,41,81,34,2
551,3,19,50,1,32,11,18,75,34,66,4
552,35,43,94,46,58,4,12,51,86,25,2
553,45,3,35,60,59,19,13,83,81,30,2
554,53,11,47,12,51,1,32,10,9,50,3
555,10,1,73,60,38,9,39,7,74,18,4
556,26,98,33,31,46,53,32,35,4,39,6
557,94,16,39,2,68,67,27,78,42,21,7
558,18,20,3,94,41,58,21,82,57,45,6
559,47,26,4,1,21,38,75,50,53,39,7
560,18,25,46,55,41,82,68,94,31,19,2
561,20,5,67,31,1,15,44,25,19,24,3
562,89,27,11,1,51,64,47,82,32,8,5
563,47,74,76,52,68,6,46,56,17,38,3
564,82,45,54,20,48,96,18,11,58,53,6
565,91,43,66,1,12,74,48,82,33,70,4
566,45,11,39,25,82,17,4,24,47,67,2
567,1,96,7,76,44,52,39,62,28,67,5
568,80,24,95,53,2,99,32,73,20,45,7
569,25,31,10,45,19,1,3,32,68,89,6
570,11,16,4,43,47,9,25,12,24,45,3
571,98,60,19,24,20,17,29,18,74,1,4
572,62,97,33,13,81,96,74,68,85,1,4
573,19,77,89,11,2,1,71,47,66,24,4
574,88,1,31,63,94,4,82,47,6,41,5
575,94,10,31,44,38,21,27,26,43,28,2
576,81,3,75,68,25,1,24,70,31,53,3
577,31,88,18,40,6,52,46,74,54,96,4
